CHILC2,HHD9,LASTGIFT,AVGGIFT,RFA_2F,ODATEW_YR,ODATEW_MM,MINRDATE_YR,TARGET_D,TARGET_B
11,5,10.0,7.741935484,4,89,1,92,0.0,0
16,3,25.0,15.66666667,2,94,1,93,0.0,0
14,5,5.0,7.481481481,4,90,1,91,0.0,0
17,3,10.0,6.8125,4,87,1,87,0.0,0
15,17,15.0,6.864864865,2,86,1,93,0.0,0
16,6,15.0,12.75,1,94,1,94,0.0,0
14,3,11.0,7.642857143,1,87,1,87,0.0,0
14,7,11.0,6.2,3,94,1,95,0.0,0
15,3,22.0,18.09090909,1,88,1,88,0.0,0
15,10,15.0,9.333333333,1,94,1,93,0.0,0
18,5,20.0,20.0,1,96,1,96,0.0,0
11,1,10.0,12.5,2,96,1,95,0.0,0
16,3,6.0,5.333333333,4,89,1,95,0.0,0
16,9,25.0,20.41666667,1,92,1,92,0.0,0
14,4,15.0,10.57142857,1,93,1,93,0.0,0
15,6,15.0,12.5,1,94,1,94,0.0,0
18,7,15.0,12.33333333,2,94,1,94,0.0,0
16,4,45.0,25.0,1,88,1,89,0.0,0
18,13,15.0,8.1,1,86,1,87,0.0,0
13,10,15.0,15.0,1,95,1,95,0.0,0
13,7,5.0,4.066666667,3,87,1,88,4.0,1
16,8,25.0,25.0,1,96,1,95,0.0,0
17,6,30.0,26.66666667,1,94,1,93,0.0,0
16,4,9.0,8.307692308,2,93,1,93,0.0,0
13,4,10.0,9.0,3,95,1,94,0.0,0
16,4,15.0,17.83333333,2,91,1,91,0.0,0
17,4,50.0,50.0,1,96,1,95,0.0,0
14,3,10.0,8.875,3,92,1,92,0.0,0
16,4,10.0,8.5,2,91,1,92,0.0,0
15,6,9.0,8.142857143,3,91,1,95,0.0,0
21,3,7.0,6.181818182,3,90,1,90,7.0,1
15,2,20.0,20.0,2,95,1,96,0.0,0
16,10,25.0,20.0,1,95,1,95,0.0,0
21,4,20.0,16.92307692,2,92,1,92,0.0,0
14,3,15.0,17.22222222,2,91,1,91,0.0,0
0,0,14.0,12.3125,1,95,1,95,0.0,0
15,9,25.0,25.0,1,95,1,95,0.0,0
12,5,27.0,16.16666667,2,86,1,87,0.0,0
15,6,15.0,12.0,3,90,1,93,0.0,0
13,3,30.0,9.4,1,86,1,88,0.0,0
18,5,25.0,22.90909091,3,93,1,93,0.0,0
14,11,10.0,9.818181818,2,87,1,88,0.0,0
18,4,20.0,15.0,1,95,1,95,0.0,0
17,2,22.0,17.0,1,93,1,93,0.0,0
19,3,5.0,11.65517241,3,92,1,97,0.0,0
13,2,5.0,4.857142857,3,86,1,93,5.0,1
18,9,10.0,7.6875,1,86,1,88,0.0,0
12,6,15.0,11.375,1,91,1,91,0.0,0
14,5,15.0,7.357142857,2,89,1,90,0.0,0
13,18,22.0,21.0,1,95,1,95,0.0,0
15,5,10.0,9.818181818,2,88,1,90,0.0,0
17,17,16.0,14.57142857,1,86,1,93,0.0,0
16,15,9.0,10.63636364,3,91,1,94,0.0,0
12,27,12.0,10.41666667,1,87,1,87,0.0,0
15,4,18.0,9.8,1,93,1,93,0.0,0
18,9,20.0,16.0,2,91,1,91,0.0,0
20,5,10.0,9.166666667,4,95,1,96,0.0,0
14,6,20.0,13.33333333,1,94,1,94,0.0,0
15,16,15.0,11.0,2,94,1,93,0.0,0
13,3,20.0,8.75,1,94,1,94,0.0,0
16,5,23.0,23.0,1,96,1,96,0.0,0
16,5,15.0,15.0,1,95,1,95,0.0,0
17,5,15.0,9.111111111,2,94,1,94,0.0,0
15,3,15.0,7.857142857,1,90,1,91,0.0,0
19,6,20.0,20.0,1,95,1,95,0.0,0
17,4,7.0,5.833333333,4,95,1,95,0.0,0
17,3,25.0,15.90909091,2,92,1,92,0.0,0
17,4,10.0,6.833333333,1,86,1,86,0.0,0
21,10,30.0,30.0,1,96,1,96,0.0,0
14,6,25.0,16.66666667,1,90,1,94,0.0,0
22,10,6.0,3.5,3,89,1,91,0.0,0
13,10,25.0,19.1875,1,86,1,94,0.0,0
12,4,20.0,20.0,1,95,1,95,0.0,0
15,5,20.0,15.0,1,95,1,95,0.0,0
16,4,8.0,6.184761905,2,88,1,90,0.0,0
